icao_code,long_destination,medium_destination,short_destination,lat_1,long_1,group,lat_2,long_2
KLCK,1,0,0,39.813801,-82.927803,0,33.8755989075,-84.3020019531
KPDK,1,1,0,33.8755989075,-84.3020019531,0,44.8184013367,20.3090991974
LYBE,1,0,0,44.8184013367,20.3090991974,0,14.98724,120.492554
RPUF,0,0,0,14.98724,120.492554,0,47.7252006530762,-117.279998779297
WN61,0,0,1,47.7252006530762,-117.279998779297,0,33.6367,-84.428101
KATL,19,4,2,33.6367,-84.428101,0,42.88079834,-85.52279663
KGRR,0,0,0,42.88079834,-85.52279663,0,36.2361984253,-115.033996582
KLSV,0,1,0,36.2361984253,-115.033996582,0,33.748401641846,-116.27500152588
KUDD,0,0,1,33.748401641846,-116.27500152588,0,49.012798,2.55
LFPG,170,1,29,49.012798,2.55,0,45.445099,9.27674
LIML,0,0,0,45.445099,9.27674,0,55.2700996398926,86.1072006225586
UNEE,0,0,0,55.2700996398926,86.1072006225586,0,44.882,-93.221802
KMSP,5,3,4,44.882,-93.221802,0,48.110298156738,16.569700241089
LOWW,41,1,3,48.110298156738,16.569700241089,0,50.8658981323,7.1427397728
EDDK,6,0,2,50.8658981323,7.1427397728,0,53.5055556,-6.2377778
EIBA,0,0,0,53.5055556,-6.2377778,0,55.553299,38.150002
UUBW,0,0,1,55.553299,38.150002,0,38.2280006409,-85.6636962891
KLOU,0,0,0,38.2280006409,-85.6636962891,0,34.2593002319,-118.413002014
KWHP,0,5,0,34.2593002319,-118.413002014,0,25.2129993438721,46.640998840332
OETH,3,1,1,25.2129993438721,46.640998840332,0,24.4283008575439,54.4580993652344
OMAD,1,0,0,24.4283008575439,54.4580993652344,0,-23.2292003631592,-45.861499786377
SBSJ,0,0,0,-23.2292003631592,-45.861499786377,0,39.784194,-104.537639
KFTG,10,3,0,39.784194,-104.537639,0,33.8297004699707,-116.50700378418
KPSP,0,2,1,33.8297004699707,-116.50700378418,0,25.273056,51.608056
OTHH,168,16,77,25.273056,51.608056,0,20.8986,-156.429993
PHOG,2,1,0,20.8986,-156.429993,0,38.3813018798828,-121.823997497559
13CL,0,0,0,38.3813018798828,-121.823997497559,0,32.8157,-117.139999
KMYF,0,1,0,32.8157,-117.139999,0,51.363056,11.940833
EDAM,1,0,0,51.363056,11.940833,0,38.72140121,-77.51540375
KHEF,0,1,0,38.72140121,-77.51540375,0,32.69919968,-117.2149963
KNZY,1,0,0,32.69919968,-117.2149963,0,4.81233,-74.0649
SKGY,0,0,0,4.81233,-74.0649,0,13.1979,77.706299
VOBL,5,3,7,13.1979,77.706299,0,43.4958992004395,-85.5736999511719
8MI4,0,0,0,43.4958992004395,-85.5736999511719,0,52.268001556396,104.38899993896
UIII,0,17,0,52.268001556396,104.38899993896,0,37.9351997375488,-121.014999389648
CN29,0,1,0,37.9351997375488,-121.014999389648,0,34.1115989685,-117.68800354
KCCB,0,1,0,34.1115989685,-117.68800354,0,33.7739982604981,-97.7380981445312
KF48,0,0,0,33.7739982604981,-97.7380981445312,0,42.114222,-87.901494
KPWK,0,0,0,42.114222,-87.901494,0,43.7603,-79.875
CNC3,0,1,0,43.7603,-79.875,0,41.257900238,69.2811965942
UTTT,0,1,0,41.257900238,69.2811965942,0,40.18690109,-74.12490082
KBLM,0,0,0,40.18690109,-74.12490082,0,34.2006988525391,-118.359001159668
KBUR,0,3,0,34.2006988525391,-118.359001159668,0,41.5087013244629,-72.8294982910156
KMMK,0,0,1,41.5087013244629,-72.8294982910156,0,35.414699554443,-97.386596679688
